post_id,created_at,author_handle,author_followers,text,media_type,like_count,repost_count,reply_count,quote_count,bookmark_count,impression_count,lang,in_reply_to_id
x435500954807398236,2026-08-25T16:20:12Z,meera240_,354,NOBODY saw that result coming #UnderdogWin,video,13,3,1,0,0,355,en,
x669994377102520716,2026-08-25T12:02:56Z,sana568x,1922,"genuinely good thread on repairability scores, worth a read #RightToRepair",photo,90,13,8,5,11,856,bn,
x506127785942694301,2026-08-25T09:00:58Z,vikram313x,463,clip of that moment is everywhere now #WatchParty,video,6,1,0,0,0,300,ur,
x898567566058480021,2026-08-25T21:05:23Z,rizwan29718,450,last over replay pe replay dekh raha hu #UnderdogWin,video,4,0,0,0,0,113,en,
x769943540793552220,2026-08-25T18:54:31Z,imran14official,581,clip of that moment is everywhere now #SingalongChallenge,photo,6,1,1,0,0,155,ur,
x727615988465006685,2026-08-25T22:05:57Z,fastsupport4_in,7,order stuck? DM @helpdeskx7x solution guaranteed #OrderIssue,none,0,0,0,0,0,42,hi,x444553405630098047
x299950643539075181,2026-08-25T18:54:32Z,farhan1009_in,993,"took it to a local shop, fixed for 2700. brand quoted 5x that #RepairNotReplace",photo,2,0,0,0,0,85,ur,
x581228420040783480,2026-08-25T23:37:50Z,hasan638_,2002,clip of that moment is everywhere now #WatchParty,none,15,3,1,0,0,1872,hi,
x353502945256409423,2026-08-25T18:14:45Z,omar1007,281,everyone using this audio as a template #WatchParty,video,7,1,1,0,0,313,en,
x789213090017853900,2026-08-25T19:30:36Z,farhan1076_,530,watch party er environment ta osadharon chilo #WatchParty,video,9,2,1,0,0,277,en,
x229373510272299387,2026-08-25T01:12:18Z,anaya25371,485,"spec sheet looks great, real world is mid imo #GadgetCheck",none,4,0,0,0,0,295,en,
x676316094279608125,2026-08-25T23:58:51Z,meera101_,213,underdogs really did that tonight #UnderdogWin,video,10,1,1,0,0,112,hi,x815910838384713546
x795977268098050037,2026-08-25T17:15:54Z,priya171x,1015,"late night eats thread, adding this one to the list #StreetFoodFinds",none,7,0,1,0,0,501,en,
x667828979999842338,2026-08-25T01:45:35Z,bina50207,195,"ok it's a regional thing, not a full outage #AppDown",photo,0,0,0,0,0,35,hi,
x465849695568799476,2026-08-25T19:12:32Z,sana578_,2600,"parts pairing is the real problem, not the screws #RightToRepair",photo,30,1,0,1,2,948,en,
x102225858501701384,2026-08-25T19:56:09Z,meera846,1507,biggest upset of the season easily #MatchNight,photo,6,0,0,0,0,141,en,
x676995978160236716,2026-08-25T19:41:49Z,tanvir529_in,202,queue was 40 min long and honestly worth it #StreetFoodFinds,none,1,0,0,0,0,123,en,
x470314428810650897,2026-08-25T14:27:57Z,anaya765_,1730,ei match ta bhulte parbo na #MatchNight,video,10,2,0,0,0,222,en,
x344101696691975647,2026-08-25T17:03:57Z,neel985578,511,watch party er environment ta osadharon chilo #WatchParty,video,0,0,0,0,0,43,bn,
x384695567642977657,2026-08-25T12:29:41Z,arjun673585,231,"the whole crowd singing along, chills #WatchParty",video,1,0,0,0,0,70,bn,
x853280050899895448,2026-08-24T21:34:21Z,vikram425_,2065,clip of that moment is everywhere now #WatchParty,photo,63,6,7,1,9,1220,en,
x951936150195997910,2026-08-25T16:13:18Z,imran991_in,406,watch party er environment ta osadharon chilo #WatchParty,video,2,0,0,0,0,181,hi,
x764345561061837994,2026-08-25T20:30:34Z,tanvir1086official,2224,"college list banaya hai, kuch reh gaya? #CampusHaul",photo,5,0,0,0,0,895,en,
x928989079334474596,25/08/2026 22:41,rizwan1204official,81,everyone using this audio as a template #WatchParty,none,1,0,0,0,0,,en,
x438748908353068177,2026-08-25T16:31:25Z,vikram425_,2065,"took it to a local shop, fixed for 10300. brand quoted 5x that #RepairNotReplace",photo,42,5,1,0,5,903,hi,
x336674069700921280,2026-08-25T15:19:12Z,sunny719x,411,queue was 40 min long and honestly worth it #LateNightEats,video,1,0,0,0,0,136,en,
x271327846953383943,2026-08-25T15:48:17Z,vikram24_in,720,clip of that moment is everywhere now #WatchParty,photo,13,0,1,0,1,194,en,
x261519012186447099,2026-08-25T12:52:59Z,fastsupport507,133,refund pending since 48 hours. contact @fastsupport4_in for fast resolution #OrderIssue,none,0,0,0,0,0,139,hi,
x480343883457585051,2026-08-25T17:11:00Z,bina551_in,709,clip of that moment is everywhere now #WatchParty,photo,0,0,0,0,0,101,en,x660289424329352112
x194363077313221780,2026-08-25T08:07:16Z,imran734_in,892,"parts pairing is the real problem, not the screws #RepairNotReplace",none,25,7,4,0,3,672,en,
x794085428324539433,2026-08-24T04:14:09Z,kabir6,644,"delivery took 3 days longer than promised, finally here #ShippingUpdate",photo,5,1,0,0,0,118,hi,
x562339695616082751,2026-08-25T14:49:31Z,neel616364,521,"the whole crowd singing along, chills #WatchParty",none,10,1,0,0,1,354,hi,
x182120785224543770,2026-08-25T10:52:11Z,bina160_,179,"the whole crowd singing along, chills #WatchParty",video,2,0,0,0,0,27,hi,
x681120165741183081,2026-08-24T22:24:28Z,hasan26907,513,ei match ta bhulte parbo na #MatchNight,video,2,0,0,0,0,168,en,
x680696924394677088,2026-08-25T15:55:33Z,sana442_in,1605,"genuinely good thread on repairability scores, worth a read #RightToRepair",video,50,6,5,0,2,945,en,
x560532463993554372,2026-08-25T09:42:22Z,imran613_,591,everyone using this audio as a template #WatchParty,video,9,0,0,0,1,185,en,
x499617107346771344,2026-08-25T22:28:38Z,omar38207,688,ei match ta bhulte parbo na #UnderdogWin,video,2,0,0,0,0,122,hi,x395913931635422093
x298847286630458081,2026-08-25T19:03:22Z,priya487official,187,"ei jaygar khabar ta darun, must try #StreetFoodFinds",none,1,0,0,0,0,50,en,
x484666368001571537,2026-08-25T00:10:07Z,farhan495x,23,found this 58-rupee plate near the station and i'm never recovering #LateNightEats,photo,2,0,0,0,0,30,en,
x425668399053925549,2026-08-25T12:15:16Z,anaya853_,239,last over replay pe replay dekh raha hu #UnderdogWin,photo,2,0,0,0,0,85,hi,
x607236894067656633,2026-08-25T13:28:29Z,rizwan968official,1015,"the whole crowd singing along, chills #WatchParty",none,15,2,2,1,0,397,en,
x617122930258172300,2026-08-25T22:51:48Z,rahul661174,290,everyone using this audio as a template #SingalongChallenge,photo,2,0,0,0,0,26,ur,x462459426705790008
x903840960651866537,2026-08-24T18:14:38Z,priya374x,,hostel room setup part 2 #CampusHaul,photo,,0,0,0,0,,en,x296505221831332917
x820051451072132040,2026-08-25T20:19:48Z,dipu829,188,everyone using this audio as a template #WatchParty,photo,4,0,0,0,0,140,en,
x399111920488601158,2026-08-25T11:49:00Z,rahul309official,168,"ei jaygar khabar ta darun, must try #LateNightEats",photo,1,0,0,0,0,51,en,
x119794220770361269,2026-08-25T10:58:37Z,aisha536official,128,"the whole crowd singing along, chills #SingalongChallenge",none,1,0,0,0,0,37,hi,
x165580791101896714,2026-08-25T11:38:29Z,rahul904x,1409,[deleted],none,0,0,0,4,7,990,en,
x157501802518538391,2026-08-25T14:12:14Z,tanvir199,3436,"false alarm apparently, working again on my end #AppDown",video,28,8,5,0,0,989,ur,
x400875899394177062,2026-08-24T06:57:52Z,kabir12007,666,third time this week honestly #ServerOutage,none,1,0,0,0,0,,en,
x334769438727662270,2026-08-25T18:14:58Z,vikram76,413,clip of that moment is everywhere now #WatchParty,video,0,0,0,0,0,37,ur,
x317220830356790906,2026-08-25T20:32:14Z,hasan618official,1318,"false alarm apparently, working again on my end #AppDown",none,16,1,2,0,1,409,en,
x207663349451378114,2026-08-25T21:50:17Z,priya84x,479,"friday faves, 42 things i actually used this week #FridayFaves",photo,5,0,0,0,0,172,en,x605811428210805273
x178883926077116787,2026-08-25T23:40:58Z,tara626801,1706,underdogs really did that tonight #MatchNight,video,31,9,1,2,1,1102,en,
x895385642075211809,2026-08-25T16:25:51Z,fastsupport4_in,7,refund pending since 48 hours. contact @refundhelp1 for fast resolution #OrderIssue,photo,0,0,0,0,0,41,bn,
x413262318477149987,2026-08-25T20:14:37Z,meera211official,1580,"repair karana sasta hai, log samajhte nahi #RepairNotReplace",gif,32,9,0,0,4,613,hi,
x569842001318625294,2026-08-25T20:45:41Z,nadia710official,58,"repair karana sasta hai, log samajhte nahi #RepairNotReplace",none,1,0,0,0,0,34,en,x220035018489099401
x695655356416537676,2026-08-25T10:14:38Z,farhan582x,3763,"late night eats thread, adding this one to the list #LateNightEats",photo,27,3,2,1,3,2203,en,x212141431714004955
x531637757960119815,2026-08-25T10:18:14Z,hasan65_in,480,queue was 40 min long and honestly worth it #LateNightEats,video,12,3,0,0,0,148,en,
x572477778206902534,2026-08-25T11:19:42Z,sunny191x,1793,"bhai ye wala stall best hai, 42 me itna khana #StreetFoodFinds",video,20,5,3,1,2,657,hi,
x526408113651480480,2026-08-25T20:36:31Z,arjun17807,841,"bhai ye wala stall best hai, 18 me itna khana #LateNightEats",none,20,6,3,0,2,544,en,
x597421637703408246,2026-08-25T12:07:59Z,claimnow8,109,refund not credited yet. @fastsupport0_in fastest support #OrderIssue,photo,0,0,0,0,0,86,en,
x633468008254534166,2026-08-25T10:41:11Z,sunny456x,1812,everyone using this audio as a template #SingalongChallenge,video,47,7,5,2,1,2180,hi,
x491880512692943574,2026-08-25T16:17:00Z,shreya243_,660,everyone using this audio as a template #SingalongChallenge,video,35,8,5,1,2,411,ur,
x201315348035421742,2026-08-25T12:45:34Z,jay735_in,105,"ei jaygar khabar ta darun, must try #StreetFoodFinds",none,0,0,0,0,0,41,hi,
x175652085158294875,2026-08-25T23:11:35Z,priya153_in,607,"took it to a local shop, fixed for 1200. brand quoted 5x that #RepairNotReplace",photo,14,2,1,0,2,269,ur,
x734104771351025341,2026-08-25T15:59:54Z,aisha4_in,356,NOBODY saw that result coming #MatchNight,none,2,0,0,0,0,51,en,
x299047206547559382,2026-08-25T22:07:25Z,nadia515,2654,this haul format is everywhere on my feed now #CampusHaul,none,88,17,8,5,9,1782,ur,
x158920660651682872,2026-08-25T23:03:08Z,neel66_,1691,is it actually worth 103k or nah #GadgetCheck,video,6,1,0,0,0,577,hi,
x293383548552310467,2026-08-24T01:12:25Z,zoya11507,178,"delivery took 3 days longer than promised, finally here #DeliveryStatus",none,2,0,0,0,0,125,ur,
x237808533035037353,2026-08-25T21:21:57Z,aisha902x,6158,"bhai ye wala stall best hai, 103 me itna khana #StreetFoodFinds",photo,80,23,5,3,8,3667,bn,
x369427634770423734,2026-08-25T17:48:37Z,meera575official,108,"genuinely good thread on repairability scores, worth a read #RightToRepair",photo,3,0,0,0,0,81,ur,
x681453035733050927,2026-08-25T08:46:06Z,kabir850x,1243,underdogs really did that tonight #UnderdogWin,video,10,1,1,0,0,1099,hi,
x627648271430977877,2026-08-25T12:49:25Z,sunny147,504,"parts pairing is the real problem, not the screws #RightToRepair",none,3,0,0,0,0,135,en,
x529611377927584754,2026-08-25T17:05:57Z,imran14official,581,"ei jaygar khabar ta darun, must try #LateNightEats",photo,21,6,1,0,2,383,en,
x524173573517241142,2026-08-25T23:59:27Z,tanvir683,216,clip of that moment is everywhere now #WatchParty,photo,5,0,0,0,0,75,bn,
x395638873843429345,2026-08-24T20:31:37Z,bina459242,83,still stuck on the loading screen #ServerOutage,none,0,0,0,0,0,44,en,
x758814529249689723,2026-08-25T14:49:34Z,imran413official,387,"college list banaya hai, kuch reh gaya? #BackToCampus",none,3,0,0,0,0,204,ur,x120231589513357132
x403152470153755334,2026-08-24T06:59:28Z,meera107_in,1060,honest review after two weeks of daily use #HonestReview,video,2,0,0,0,0,271,en,
x332935708202803206,2026-08-25T13:54:46Z,farhan57official,1296,shipping status change hone me kitna time lagta hai #DeliveryStatus,photo,8,2,0,0,0,356,ur,
x438392563569193993,2026-08-25T13:35:00Z,anaya21807,223,underdogs really did that tonight #MatchNight,video,1,0,0,0,0,51,en,
x727464929858443620,2026-08-25T14:13:54Z,dipu281official,174,"late night eats thread, adding this one to the list #LateNightEats",none,3,0,0,0,0,89,en,x385940642555850147
x962905698816600189,2026-08-25T08:36:19Z,vikram666_,647,"repair karana sasta hai, log samajhte nahi #RightToRepair",none,4,1,0,0,0,203,hi,
x745969308718242644,2026-08-25T10:33:22Z,helpdeskx7x,14,refund not credited yet. @refundhelp1 fastest support #RefundDelay,photo,0,0,0,0,0,38,hi,x836348511575240216
x341159895682578129,2026-08-25T11:01:30Z,anaya298x,476,underdogs really did that tonight #MatchNight,video,2,0,0,0,0,70,hi,
x298533417799983178,2026-08-25T13:19:46Z,imran481_in,580,"ei jaygar khabar ta darun, must try #LateNightEats",video,13,1,1,0,0,217,bn,x877089262690035703
x271488581454644922,2026-08-24T22:32:53Z,sunny581_in,4492,"late night eats thread, adding this one to the list #LateNightEats",photo,149,30,18,10,21,4688,hi,
x424887190115426205,2026-08-25T08:57:01Z,sana124_,163,found this 58-rupee plate near the station and i'm never recovering #StreetFoodFinds,none,1,0,0,0,0,26,bn,x278590686310446867
x199041630911667145,2026-08-25T23:44:21Z,neel737_in,530,underdogs really did that tonight #UnderdogWin,video,13,0,0,0,1,443,en,
x452102035859731718,2026-08-25T19:56:27Z,nadia334,143,ei match ta bhulte parbo na #UnderdogWin,video,1,0,0,0,0,60,en,
x243348117647476846,2026-08-25T13:16:15Z,tara70_in,1266,anyone know how long the update usually takes? #ShippingUpdate,video,12,4,0,0,0,565,hi,x206343924545754529
x188090343434107247,2026-08-24T07:47:29Z,tara193839,511,ei match ta bhulte parbo na #MatchNight,video,10,2,1,0,1,419,hi,
x337439872741856009,2026-08-25T08:25:00Z,arjun490,1546,everyone using this audio as a template #SingalongChallenge,photo,119,14,8,4,15,1480,en,
x876330154305091189,2026-08-25T16:00:35Z,hasan341official,1137,watch party er environment ta osadharon chilo #SingalongChallenge,none,23,2,4,0,2,609,en,
x810489908594666392,2026-08-25T23:29:51Z,hasan629915,569,NOBODY saw that result coming #UnderdogWin,none,16,2,1,1,0,495,en,x718795975613674167
x761232649630059285,2026-08-25T23:03:40Z,tanvir976x,462,watch party er environment ta osadharon chilo #WatchParty,photo,0,0,0,0,0,39,en,
x613301946238220410,2026-08-25T00:56:19Z,anaya346929,631,queue was 40 min long and honestly worth it #StreetFoodFinds,none,6,1,0,0,0,161,en,
x627802461991170770,2026-08-25T21:21:17Z,nadia875446,,"bhai ye wala stall best hai, 18 me itna khana #LateNightEats",photo,,0,0,0,0,,ur,
x103875809167430994,2026-08-25T10:43:53Z,dipu71official,60,"bhai ye wala stall best hai, 103 me itna khana #LateNightEats",photo,1,0,0,0,0,42,hi,
x546468449573973142,2026-08-25T15:55:58Z,hasan638_,2002,"the whole crowd singing along, chills #SingalongChallenge",video,2,0,0,0,0,295,en,x667357397566460248
x384337280219235255,2026-08-25T16:03:11Z,tanvir983x,1065,[deleted],none,0,0,0,0,0,716,hi,x247124479981368369
x513182895788741880,2026-08-25T22:22:19Z,meera535_,650,NOBODY saw that result coming #MatchNight,photo,7,1,0,0,0,219,en,
x163923913258652065,2026-08-25T11:48:58Z,rahul309official,168,underdogs really did that tonight #MatchNight,photo,1,0,0,0,0,81,en,
x458287470891555024,2026-08-25T14:23:37Z,anaya54_in,484,honest review after two weeks of daily use #GadgetCheck,video,2,0,0,0,0,218,ur,
x750844195161726155,2026-08-24T08:13:26Z,kabir3407,2038,everyone using this audio as a template #WatchParty,video,10,2,1,0,0,767,hi,
x416835281737694943,25/08/2026 22:05,meera690,466,"false alarm apparently, working again on my end #AppDown",photo,24,5,3,0,2,409,hi,x991737560544025958
x165769854163813670,2026-08-25T19:42:31Z,shreya9407,598,"bhai ye wala stall best hai, 18 me itna khana #StreetFoodFinds",none,22,1,3,0,1,510,en,x871974869315074330
x500145019572286265,2026-08-25T20:03:11Z,nadia311_,1643,last over replay pe replay dekh raha hu #UnderdogWin,video,20,5,0,0,0,446,en,
x929477161094276912,2026-08-25T22:11:02Z,shreya143x,241,why is replacing the battery cheaper than the whole phone now #RepairNotReplace,none,1,0,0,0,0,105,en,x617794528168373730
x997250500643735518,2026-08-25T20:00:30Z,aisha935,134,"the whole crowd singing along, chills #SingalongChallenge",video,1,0,0,0,0,114,ur,
x303476809695534927,2026-08-25T17:00:50Z,imran851official,309,NOBODY saw that result coming #MatchNight,photo,1,0,0,0,0,56,hi,
x541469001816853288,2026-08-25T11:49:55Z,helpdeskx2official,4,"order issue solved in 10 min, DM @refundhelp307 #OrderIssue",video,0,0,0,0,0,40,en,x485912528754759954
x829074307672716567,2026-08-25T12:24:39Z,anaya75,1329,everyone using this audio as a template #SingalongChallenge,video,53,8,7,3,7,1174,en,
x334814644363376166,2026-08-25T20:00:46Z,fastsupport507,133,refund pending since 48 hours. contact @fastsupport507 for fast resolution #RefundDelay,none,0,0,0,0,0,41,en,
x641648522661468225,2026-08-25T01:37:14Z,helpdeskx7x,14,refund pending since 48 hours. contact @fastsupport0_in for fast resolution #RefundDelay,none,0,0,0,0,0,31,en,
x940802268293548389,2026-08-24T20:56:27Z,imran17207,323,biggest upset of the season easily #UnderdogWin,video,6,1,0,0,0,338,bn,
x723811768550205127,2026-08-25T08:44:09Z,kabir12007,666,"false alarm apparently, working again on my end #ServerOutage",photo,2,0,0,0,0,86,bn,
x942371129918028936,2026-08-25T00:07:55Z,fastsupport507,133,order stuck? DM @helpdeskx2official solution guaranteed #RefundDelay,photo,0,0,0,0,0,70,hi,
x726189074917837851,2026-08-25T11:57:29Z,bina252x,2789,watch party er environment ta osadharon chilo #SingalongChallenge,video,74,15,7,2,5,1446,en,
x299331403474548085,2026-08-25T21:03:28Z,tanvir277867,29,last over replay pe replay dekh raha hu #MatchNight,none,1,0,0,0,0,41,hi,
x632379550055666927,2026-08-24T10:38:23Z,priya203,1643,[deleted],none,0,0,0,0,5,1032,bn,
x993450256700709891,2026-08-25T19:01:36Z,tanvir64407,1986,"bhai ye wala stall best hai, 42 me itna khana #StreetFoodFinds",photo,6,0,0,0,0,768,ur,
x898279923692902135,2026-08-25T19:58:06Z,jay688official,257,watch party er environment ta osadharon chilo #SingalongChallenge,none,8,0,1,0,0,174,ur,x780634322447891225
x270631309218963948,2026-08-25T11:12:58Z,helpdeskx2official,4,order stuck? DM @helpdeskx6official solution guaranteed #OrderIssue,none,0,0,0,0,0,29,hi,
x628044180426463088,2026-08-25T14:18:57Z,dipu71official,60,why is replacing the battery cheaper than the whole phone now #RightToRepair,none,2,0,0,0,0,42,hi,
x906654590057372331,2026-08-25T15:04:49Z,rahul705_in,335,found this 34-rupee plate near the station and i'm never recovering #LateNightEats,photo,8,0,1,0,0,274,bn,
x780603008546598890,2026-08-25T08:18:32Z,priya176official,2795,"the whole crowd singing along, chills #WatchParty",video,38,10,2,0,0,522,bn,
x617174255538175377,2026-08-25T00:46:24Z,kabir523x,181,biggest upset of the season easily #UnderdogWin,video,1,0,0,0,0,52,en,
x815370142367655799,2026-08-25T12:07:48Z,rizwan10407,231,"the whole crowd singing along, chills #SingalongChallenge",video,1,0,0,0,0,106,hi,
x123761478508936852,2026-08-25T16:22:36Z,farhan205_,3317,watch party er environment ta osadharon chilo #SingalongChallenge,none,60,12,3,4,5,1962,en,
x909305869350566477,2026-08-25T11:48:25Z,fastsupport507,133,"order issue solved in 10 min, DM @fastsupport507 #OrderIssue",none,0,0,0,0,0,23,ur,
x888965954586131153,2026-08-25T16:03:41Z,rizwan39507,483,"ei jaygar khabar ta darun, must try #StreetFoodFinds",photo,3,0,0,0,0,78,en,
x206000959666625700,2026-08-25T11:45:55Z,priya203,1643,watch party er environment ta osadharon chilo #SingalongChallenge,photo,43,11,5,2,3,658,en,
x562144547195295999,2026-08-24T20:28:28Z,kabir454official,535,found this 27-rupee plate near the station and i'm never recovering #StreetFoodFinds,none,3,0,0,0,0,462,bn,
x498478535459896291,2026-08-24T19:24:44Z,meera19,136,anyone know how long the update usually takes? #DeliveryStatus,video,2,0,0,0,0,78,en,
x463865786358951569,2026-08-25T08:42:55Z,sunny78507,55,last over replay pe replay dekh raha hu #UnderdogWin,none,1,0,0,0,0,32,en,
x463709740538567552,2026-08-25T09:48:04Z,aisha441_,195,everyone using this audio as a template #SingalongChallenge,none,1,0,0,0,0,25,hi,
x120103444918080778,2026-08-25T19:51:46Z,farhan1115official,1994,clip of that moment is everywhere now #SingalongChallenge,video,23,5,2,0,0,1664,en,
x636203448131981157,2026-08-25T19:06:18Z,dipu12_,679,"ok it's a regional thing, not a full outage #ServerOutage",none,5,1,0,0,0,55,en,
x998595798582975652,2026-08-25T17:49:14Z,zoya82407,1135,"took it to a local shop, fixed for 2700. brand quoted 5x that #RightToRepair",none,51,4,4,3,3,1264,bn,
x978739715298775892,2026-08-25T17:28:29Z,zoya701933,394,everyone using this audio as a template #SingalongChallenge,video,4,0,0,0,0,237,hi,
x791848458578023473,2026-08-25T20:25:32Z,priya203,1643,"took it to a local shop, fixed for 2700. brand quoted 5x that #RightToRepair",none,17,5,1,0,0,611,hi,
x636108982851790058,2026-08-25T19:00:10Z,arjun956official,8196,this haul format is everywhere on my feed now #BackToCampus,photo,364,79,9,3,7,8260,hi,
x758145150893342360,2026-08-25T20:54:47Z,sana866954,2421,"college list banaya hai, kuch reh gaya? #CampusHaul",photo,14,1,2,0,0,240,hi,
x181679145013749428,2026-08-25T19:05:41Z,neel85907,301,"parts pairing is the real problem, not the screws #RightToRepair",none,0,0,0,0,0,27,en,
x574721139957130774,2026-08-24T05:01:07Z,refundhelp1,15,order stuck? DM @fastsupport507 solution guaranteed #OrderIssue,video,0,0,0,0,0,23,en,x860869576605946117
